pn,pn_interchangeable,interchangeable_type,authorization_code,vendor,prefer,category
0-0477812-6,0-0477812-6,M,,,,TOOL
005-8041-150,005-8041-150,M,,,,CONS
005W0122-1,005W0122-1,M,,OEM,,KIT
005W0122-2,005W0122-2,M,,OEM,,KIT
005W0122-3,005W0122-3,M,,OEM,,KIT
005W0122-4,005W0122-4,M,,OEM,,KIT
005W0132-1,005W0132-1,M,,OEM,,KIT
005W0132-2,005W0132-2,M,,OEM,,KIT
005W3057-4,005W3057-4,M,,,,EXP
005W3198-3,005W3198-3,M,,OEM,,EXP
005W3281-5,005W3281-5,M,,,,CONS
005W3366-14,005W3366-14,M,,,,CONS
0061BN1,ASE-00747-05,B,,,,TOOL
0061BN1,0061BN1,M,,,,TOOL
0061BN1,SPL-1513,B,,,,TOOL
0061BN1,ID400-1,B,,,N,TOOL
00-6414,00-6414,M,,,,EXP
006-7647-00,006-7647-00,M,,,,CONS
007-0033-00,007-0033-00,M,,,,EXP
007-0059-00,007-0059-00,M,,,,EXP
007-0059-00,2N3702,B,,,N,EXP
007-0078-00,007-0078-00,M,,,,EXP
007-0078-00,2N3415,B,,,N,EXP
007-0179-00,007-0179-00,M,,,,EXP
007-0179-00,2N3904,B,,,N,EXP
007-0238-00,007-0238-00,M,,,,EXP
007-0238-00,FPN4917,B,,,N,EXP
007-0337-00,SRF2417,B,,,N,EXP
007-0337-00,SRF2416,B,,,N,EXP
007-0337-00,007-0337-00,M,,,,EXP
007-0337-00,007-0338-00,B,,,N,EXP
007167005,007167005,M,,,,CONS
007R,007R,M,,,,EXP
008-3022-010,008-3022-010,M,,,,CONS
0085110-5,0085110-5,M,,,,EXP
008R,008R,M,,,,EXP
009-1377-000,009-1377-000,M,,,,EXP
0091520200-3,0091520200-3,M,,,,ROT
009-1594-010,009-1594-010,M,,,,EXP
009-1885-020,009-1885-020,M,,,,EXP
009-1885-020,021169,B,,,N,EXP
00935-037-000,00935-037-000,M,,,,TOOL
0097-0005,0097-0005,M,,,,EXP
00E64191,00E64191,M,,,,EXP
00EL15362,00EL15362,M,,,,EXP
01/62-31-100-R4,01/62-31-100-R4,M,,,,TOOL
01/62-32-100-R4,01/62-32-100-R4,M,,,,TOOL
01/84-02-025-R2,01/84-02-025-R2,M,,,,TOOL
01/84-02-040-R2,01/84-02-040-R2,M,,,,TOOL
010 7376-01,010 7376-01,M,,,,ROT
01001290,01001290,M,,,,EXP
010014,010014,M,,,,TOOLSER
010014,00-010014,B,,,,TOOLSER
01001596,01001596,M,,,,EXP
01001777,01001777,M,,,,EXP
01001833,01001833,M,,,,EXP
